"Reference","Qty","Value","Footprint","Datasheet","Manufacturer","Manufatcurer Part Number","Distributer Link"
"C1,C2,C3,C10,C16","5","4u7","Capacitor_SMD:C_0603_1608Metric","","KYOCERA AVX","0603YD475MAT2A","https://www.mouser.in/en/c/?q=0603YD475MAT2A"
"C4,C5,C6,C7,C8,C9,C11,C12,C14,C19","10","100n","Capacitor_SMD:C_0402_1005Metric","","KYOCERA AVX","04023C104KAT2A","https://www.mouser.in/en/c/?q=04023C104KAT2A"
"C13,C15","2","10p","Capacitor_SMD:C_0402_1005Metric","","KYOCERA AVX","04025A100JAT4A","https://www.mouser.in/en/c/?q=04025A100JAT4A"
"C17","1","0p8","Capacitor_SMD:C_0402_1005Metric","","Murata Electronics","GRM1555C1HR80BA01D","https://www.mouser.in/en/c/?q=GRM1555C1HR80BA01D"
"C18","1","0p3","Capacitor_SMD:C_0402_1005Metric","","Murata Electronics","GRM1555C1HR30WA01D","https://www.mouser.in/en/ProductDetail/Murata-Electronics/GRM1555C1HR30WA01D?qs=e%252BE4OD6MgMcS%252BbE0ktTutg%3D%3D"
"D1","1","LED","LED_SMD:LED_0402_1005Metric","","Wurth Elektronik","150040RS73240","https://www.mouser.in/en/ProductDetail/Wurth-Elektronik/150040RS73240?qs=8Aam6%252B7C6HGMiInmnlrBiw%3D%3D"
"FLT1","1","DLF162500LT-5028A1","STM32 BLUETOOTH HARDWARE DESIGN_PCBFootprints:DLF162500LT-5028A1","","TDK","DLF162500LT-5028A1","https://www.mouser.in/en/ProductDetail/TDK/DLF162500LT-5028A1?qs=U%2FZX79kHR%2FlwIbAISCs3qA%3D%3D"
"J3","1","Conn_01x04","Connector_Molex:Molex_PicoBlade_53048-0410_1x04_P1.25mm_Horizontal","","Molex","53048-0410","https://www.mouser.in/en/ProductDetail/Molex/53048-0410?qs=359VwiUTsp2msj5Tobchuw%3D%3D"
"J4","1","Conn_Coaxial","Connector_Coaxial:U.FL_Hirose_U.FL-R-SMT-1_Vertical","","Hirose Connector","U.FL-R-SMT(01)","https://www.mouser.in/en/c/?q=U.FL-R-SMT%2801%29"
"L1","1","10n","Inductor_SMD:L_0402_1005Metric","","Murata Electronics","LQG15WZ10NJ02D","https://www.mouser.in/en/ProductDetail/Murata-Electronics/LQG15WZ10NJ02D?qs=60uY6ySkanT1eJ7IaeAl%2Fg%3D%3D"
"L2","1","10u","Inductor_SMD:L_0805_2012Metric","","Murata Electronics","LQM21FN100M70L","https://www.mouser.in/en/ProductDetail/Murata-Electronics/LQM21FN100M70L?qs=8M15sSGRUn%252BogwBrvQUwLA%3D%3D"
"L3","1","2n7","Inductor_SMD:L_0402_1005Metric","","Murata Electronics","LQG15HS2N7S02D","https://www.mouser.in/en/ProductDetail/Murata-Electronics/LQG15HS2N7S02D?qs=ctz47l0uL1AKrLI74yO5Qw%3D%3D"
"R1,R2,R6","3","5k1","Resistor_SMD:R_0402_1005Metric","","YAGEO","RC0603FR-075K1L","https://www.mouser.in/en/c/?q=RC0603FR-075K1L"
"R3,R4,R5,R7","4","220R","Resistor_SMD:R_0402_1005Metric","","YAGEO","RC0402FR-07221RL","https://www.mouser.in/en/ProductDetail/YAGEO/RC0402FR-07221RL?qs=YDy31nmf64y04UoKIvC83Q%3D%3D"
"SW1","1","SW_Push","Button_Switch_SMD:SW_SPST_CK_RS282G05A3","","C&K","RS-282G05A3-SM RT","https://www.mouser.in/en/ProductDetail/CK/RS-282G05A3-SM-RT?qs=T%252BgPUmif8%252BjtyA9QuPnoeg%3D%3D"
"X1","1","32kHz768","Crystal:Crystal_SMD_2012-2Pin_2.0x1.2mm","","NDK","STDMUB1-32.768K","https://www.mouser.in/en/ProductDetail/NDK/STDMUB1-32.768K?qs=Tc%252BHE9vUsnsZGGDEPnJaig%3D%3D"
"X2","1","32MHz","Crystal:Crystal_SMD_2016-4Pin_2.0x1.6mm","","NDK","CS06465-32M","https://www.mouser.in/en/ProductDetail/NDK/CS06465-32M?qs=Tc%252BHE9vUsnvl87v0Cxzd7g%3D%3D"
"U1","1","MIC5365-3.3YD5","Package_TO_SOT_SMD:TSOT-23-5","https://ww1.microchip.com/downloads/aemDocuments/documents/APID/ProductDocuments/DataSheets/MIC5365-6-High-Performance-Single-150mA-LDO-DS20006605A.pdf","Microchip Technology","MIC5365-3.3YD5-TR","https://www.mouser.in/en/ProductDetail/Microchip-Technology/MIC5365-3.3YD5-TR?qs=U6T8BxXiZAXzRinbbfZRrg%3D%3D"
"U3","1","STM32WB55CEU6","Package_DFN_QFN:QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm","https://www.st.com/resource/en/datasheet/stm32wb55ce.pdf","STMicroelectronics","STM32WB55CEU6","https://www.mouser.in/en/c/?q=STM32WB55CEU6"
"U2","1","USBLC6-2SC6","Package_TO_SOT_SMD:SOT-23-6","https://www.st.com/resource/en/datasheet/usblc6-2.pdf","STMicroelectronics","USBLC6-2SC6","https://www.mouser.in/en/c/?q=USBLC6-2SC6"
"J1","1","USB_C_Receptacle_USB2.0_16P","Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","GCT","USB4105-GF-A","https://www.mouser.in/en/c/?q=USB4105-GF-A"
